#{"t_start": 1701407475.1365986, "env_id": "None"}
r,l,t
-526.626615,200,9.989532
-386.703256,200,21.754187
-521.626615,200,33.578836
-535.626615,200,44.442313
-404.772137,200,55.075481
-541.871721,200,65.598289
-516.626615,200,76.682172
-461.782929,200,87.372766
-254.771122,200,97.883521
-436.048009,200,109.133244
-574.626615,200,120.272741
-551.626615,200,130.838846
-563.626615,200,142.015693
-450.222231,200,153.069597
-527.48476,200,163.327652
-538.626615,200,174.812763
-313.621748,200,184.558411
-603.626615,200,195.718643
-315.286652,200,206.394898
-524.626615,200,217.448548
-428.805379,200,228.416438
-427.225709,200,239.755989
-557.626615,200,250.64978
-337.439881,200,260.150006
-316.796856,200,271.013507
-440.03296,200,281.516172
-309.574146,200,292.920402
-448.72384,200,303.818719
-460.613871,200,313.462738
-352.369427,200,325.086948
-566.626615,200,334.899171
-465.216747,200,345.772677
-418.382361,200,356.126143
-409.292642,200,367.406116
-267.134897,200,377.828475
-550.626615,200,389.225448
-469.702177,200,399.424245
-551.626615,200,410.036349
-580.626615,200,420.530024
-547.626615,200,432.700924
-399.41239,200,443.282703
-421.004769,200,454.203304
-410.984373,200,463.676788
-473.45075,200,473.508493
-434.563526,200,484.030711
-322.634485,200,495.264142
